"reference","isDeprecatedLicenseId","detailsUrl","referenceNumber","name","licenseId","seeAlso","isOsiApproved","isFsfLibre"
"https://spdx.org/licenses/GPL-3.0-or-later.html",FALSE,"https://spdx.org/licenses/GPL-3.0-or-later.json",536,"GNU General Public License v3.0 or later","GPL-3.0-or-later","https://www.gnu.org/licenses/gpl-3.0-standalone.html",TRUE,TRUE
"https://spdx.org/licenses/GPL-3.0-with-autoconf-exception.html",TRUE,"https://spdx.org/licenses/GPL-3.0-with-autoconf-exception.json",412,"GNU General Public License v3.0 w/Autoconf exception","GPL-3.0-with-autoconf-exception","https://www.gnu.org/licenses/autoconf-exception-3.0.html",FALSE,NA
"https://spdx.org/licenses/GPL-3.0-with-GCC-exception.html",TRUE,"https://spdx.org/licenses/GPL-3.0-with-GCC-exception.json",297,"GNU General Public License v3.0 w/GCC Runtime Library exception","GPL-3.0-with-GCC-exception","https://www.gnu.org/licenses/gcc-exception-3.1.html",TRUE,NA
"https://spdx.org/licenses/Graphics-Gems.html",FALSE,"https://spdx.org/licenses/Graphics-Gems.json",227,"Graphics Gems License","Graphics-Gems","https://github.com/erich666/GraphicsGems/blob/master/LICENSE.md",FALSE,NA
"https://spdx.org/licenses/gSOAP-1.3b.html",FALSE,"https://spdx.org/licenses/gSOAP-1.3b.json",92,"gSOAP Public License v1.3b","gSOAP-1.3b","http://www.cs.fsu.edu/~engelen/license.html",FALSE,NA
"https://spdx.org/licenses/HaskellReport.html",FALSE,"https://spdx.org/licenses/HaskellReport.json",479,"Haskell Language Report License","HaskellReport","https://fedoraproject.org/wiki/Licensing/Haskell_Language_Report_License",FALSE,NA
"https://spdx.org/licenses/Hippocratic-2.1.html",FALSE,"https://spdx.org/licenses/Hippocratic-2.1.json",197,"Hippocratic License 2.1","Hippocratic-2.1","https://firstdonoharm.dev/version/2/1/license.html",FALSE,NA
"https://spdx.org/licenses/HP-1986.html",FALSE,"https://spdx.org/licenses/HP-1986.json",82,"Hewlett-Packard 1986 License","HP-1986","https://sourceware.org/git/?p=newlib-cygwin.git;a=blob;f=newlib/libc/machine/hppa/memchr.S;h=1cca3e5e8867aa4bffef1f75a5c1bba25c0c441e;hb=HEAD#l2",FALSE,NA
"https://spdx.org/licenses/HP-1989.html",FALSE,"https://spdx.org/licenses/HP-1989.json",407,"Hewlett-Packard 1989 License","HP-1989","https://github.com/bleargh45/Data-UUID/blob/master/LICENSE",FALSE,NA
"https://spdx.org/licenses/HPND.html",FALSE,"https://spdx.org/licenses/HPND.json",5,"Historical Permission Notice and Disclaimer","HPND","https://opensource.org/licenses/HPND",TRUE,TRUE
"https://spdx.org/licenses/HPND-DEC.html",FALSE,"https://spdx.org/licenses/HPND-DEC.json",375,"Historical Permission Notice and Disclaimer - DEC variant","HPND-DEC","https://gitlab.freedesktop.org/xorg/app/xkbcomp/-/blob/master/COPYING?ref_type=heads#L69",FALSE,NA
"https://spdx.org/licenses/HPND-doc.html",FALSE,"https://spdx.org/licenses/HPND-doc.json",109,"Historical Permission Notice and Disclaimer - documentation variant","HPND-doc","https://gitlab.freedesktop.org/xorg/lib/libxext/-/blob/master/COPYING?ref_type=heads#L185-197",FALSE,NA
"https://spdx.org/licenses/HPND-doc-sell.html",FALSE,"https://spdx.org/licenses/HPND-doc-sell.json",535,"Historical Permission Notice and Disclaimer - documentation sell variant","HPND-doc-sell","https://gitlab.freedesktop.org/xorg/lib/libxtst/-/blob/master/COPYING?ref_type=heads#L108-117",FALSE,NA
"https://spdx.org/licenses/HPND-export-US.html",FALSE,"https://spdx.org/licenses/HPND-export-US.json",203,"HPND with US Government export control warning","HPND-export-US","https://www.kermitproject.org/ck90.html#source",FALSE,NA
"https://spdx.org/licenses/HPND-export-US-modify.html",FALSE,"https://spdx.org/licenses/HPND-export-US-modify.json",367,"HPND with US Government export control warning and modification rqmt","HPND-export-US-modify","https://github.com/krb5/krb5/blob/krb5-1.21.2-final/NOTICE#L1157-L1182",FALSE,NA
"https://spdx.org/licenses/HPND-Markus-Kuhn.html",FALSE,"https://spdx.org/licenses/HPND-Markus-Kuhn.json",431,"Historical Permission Notice and Disclaimer - Markus Kuhn variant","HPND-Markus-Kuhn","https://www.cl.cam.ac.uk/~mgk25/ucs/wcwidth.c",FALSE,NA
"https://spdx.org/licenses/HPND-Pbmplus.html",FALSE,"https://spdx.org/licenses/HPND-Pbmplus.json",469,"Historical Permission Notice and Disclaimer - Pbmplus variant","HPND-Pbmplus","https://sourceforge.net/p/netpbm/code/HEAD/tree/super_stable/netpbm.c#l8",FALSE,NA
"https://spdx.org/licenses/HPND-sell-regexpr.html",FALSE,"https://spdx.org/licenses/HPND-sell-regexpr.json",542,"Historical Permission Notice and Disclaimer - sell regexpr variant","HPND-sell-regexpr","https://gitlab.com/bacula-org/bacula/-/blob/Branch-11.0/bacula/LICENSE-FOSS?ref_type=heads#L245",FALSE,NA
