name,category,link,topics,country,region_africa,region_asia,region_easteurope,region_latinamerica,region_westeurope,year_start,year_end,availability,registration,license,file_codebook,file_csv,file_dta,file_sav,file_excel,file_r,file_zip,variable_countryname,variable_year,variable_cow,doi_article,doi_dataset,revised,note
The CIRI Human Rights Dataset,international relations,http://www.humanrightsdata.com/p/data-documentation.html,human rights,,1,1,1,1,1,1981,2011,online,no,,,,,,,,,CTRY,YEAR,,,10.7910/DVN/UKCPXT,20221027,
The Civil Conflict Ceasefire dataset,international relations,https://ceasefireproject.org/download/,"ceasefire, civil conflict, conflict management",,1,1,1,1,1,1989,2020,online,no,,https://ceasefireproject.org/wp-content/uploads/2022/11/Civil-Conflict-Ceasefire-Data-set-%E2%80%93-Codebook-V1.pdf,,https://ceasefireproject.org/wp-content/uploads/2022/11/CFD_oct_2022_id-1.dta,,https://ceasefireproject.org/wp-content/uploads/2022/11/CFD_oct_2022_id-1.xlsx,,,location,end_yr,,10.1177/00220027221129183,,20230909,
The Comparative Legislators Database,parties and politicians,https://github.com/saschagobel/legislatoR,"legislators, politicians",,0,0,1,0,1,1789,2019,online,no,,,,,,,,,,,,,,20191129,
The Dataset of Turkish Political Elites,parties and politicians,http://www.tevfikmuratyildirim.com/datasets.html,"legislators, parliamentary activities",TR,0,0,0,0,1,1920,2023,forthcoming,no,,,,,,,,,,,,10.1016/j.electstud.2024.102746,,20240214,
The Dyadic Cyber Incident and Dispute Data,international relations,https://drryanmaness.wixsite.com/cyberconflict/cyber-conflict-dataset,cyber conflict,,0,1,1,1,1,2000,2020,online,no,,https://a678132e-4067-4ed4-800a-239c80659fd1.filesusr.com/ugd/4b99a4_ca35bdb6bd55443e890d2dab86910b4c.pdf,https://a678132e-4067-4ed4-800a-239c80659fd1.filesusr.com/ugd/4b99a4_b4024493e8044daaa0c5e1afd86e5de7.csv?dn=DCID_2.0_Release_public_June_2022.csv,,,,,,StateA,,,,,20220924,
The European pension politics dataset,policy,http://euiresdata.eui.eu/xmlui/handle/123456789/32,pension reforms,,0,0,0,0,1,1980,2003,online,no,,,,,,http://euiresdata.eui.eu/xmlui/bitstream/handle/123456789/32/Pensions_EMI_2019_05_20.xlsx,,,country,year,,,,20190719,
The Logic of Political Survival,international relations,http://www.nyu.edu/gsas/dept/politics/data/bdm2s2/Logic.htm,"leaders, political survival",,1,1,1,1,1,1763,2010,online,no,,,,,,,,http://www.nyu.edu/gsas/dept/politics/data/bdm2s2/bdm2s2_nation_year_data_may2002_webversion.zip,country,year,,,,20180526,
The Political Constraint Index,political institutions,https://mgmt.wharton.upenn.edu/faculty/heniszpolcon/polcondataset/,political risk,,1,1,1,1,1,1800,2016,online,no,,,,,,https://mgmt.wharton.upenn.edu/wp-content/uploads/2017/02/POLCON_2017.xlsx,,,polity_country,year,,,,20220927,
The PopuList,parties and politicians,https://popu-list.org/,"populist parties, far right parties, far left parties, Eurosceptic parties",,0,0,1,0,1,1989,2022,online,no,,,,,,,,,country_name,,,10.1017/S0007123423000431,10.17605/OSF.IO/2EWKQ,20230921,
The Reed-Smith Japanese House of Representatives Elections Dataset,parties and politicians,https://doi.org/10.7910/DVN/QFEPXD,"House of Representatives, elections, dynasties",JP,0,1,0,0,0,1947,2014,online,no,,,,,,,,,,year,,,10.7910/DVN/QFEPXD,20180712,
The Regulation of Labor,policy,https://scholar.harvard.edu/shleifer/publications/regulation-labor,"labor markets, collective relations, social security laws",,1,1,1,1,1,2003,2003,online,no,,https://scholar.harvard.edu/files/shleifer/files/reg_labor.pdf,,,,https://scholar.harvard.edu/files/shleifer/files/labor_dataset_qje_dataforweb_2005.xls,,,country,,,10.1162/0033553042476215,,20180519,
The SOM Institute Cumulative Dataset,citizens,https://snd.gu.se/en/catalogue/study/snd0905,"general health and well-being, media, information society, employment, unemployment, environment and conservation, political behaviour and attitudes, elections, international politics and organisations, social welfare policy, leisure, tourism and sport, social behaviour and attitudes, cultural activities and participation, Political Science, Media and Communications",SE,0,0,0,0,1,1986,2019,online,"yes, registration form",,,,,,,,,,,,,,20220927,
The UN Security Council Debates,political speeches and debates,https://doi.org/10.7910/DVN/KGVSYH,"United Nations, speech",,1,1,1,1,1,1995,2017,online,no,,,,,,,,,country,year,,,10.7910/DVN/KGVSYH,20190718,
Thin Anti-Establishment Supply Dataset,parties and politicians,https://doi.org/10.1177/13540688221080536,"anti-establishment politics, election campaign, populism",,0,0,1,0,1,2010,2019,online,no,CC-BY-4.0,,,,,,,,,,,10.1177/13540688221080536,10.17605/OSF.IO/F23HM,20240114,
Threat and Imposition of Sanctions,international relations,http://sanctions.web.unc.edu/,"economic coercion, economic sanctions, threats",,1,1,1,1,1,1945,2012,online,no,,http://www.unc.edu/~bapat/tiesusersmanualv4.pdf,,,,http://www.unc.edu/~bapat/TIESv4.xls,,,,startyear,,10.1177/0738894213520379,,20190311,
Total Economy Database,economics,https://www.conference-board.org/data/economydatabase/index.cfm?id=27762,"labour, labour productivity, gdp, employment, growth",,1,1,1,1,1,1950,2018,online,no,,,,,,,,,COUNTRY,YEAR,,,,20180526,
TRade & ENvironment Database,environment,http://www.chaire-epi.ulaval.ca/en/trend,"trade agreements, environment",,1,1,1,1,1,1947,2018,online,no,,,,,,http://www.chaire-epi.ulaval.ca/sites/chaire-epi.ulaval.ca/files/trend_2_public_version.xlsx,,,Trade.Agreement,Year,,10.1162/GLEP_a_00447,,20191218,
Trans Rights Indicator Project,policy,https://doi.org/10.1017/S1537592723002827,"trans rights, anti-discrimination, gender, criminalization",,1,1,1,1,1,2000,2021,forthcoming,,,,,,,,,,,,,10.7910/DVN/FXXLTS,10.1017/S1537592723002827,20231019,
Truth Social Dataset,citizens,https://doi.org/10.48550/arXiv.2303.11240,"social media, populism",US,0,0,0,0,1,2022,2022,online,no,,,,,,,,,,,,10.48550/arXiv.2303.11240,10.5281/zenodo.7531625,20230810,
U.S. District Court Database,political institutions,https://www.umassd.edu/cas/polisci/resources/us-district-court-database/,federal district court judges,US,0,0,0,0,1,1927,2012,online,no,,https://www.umassd.edu/media/umassdartmouth/political-science/facultydocs/codebook-5-24-2016.pdf,,https://www.umassd.edu/media/umassdartmouth/political-science/facultydocs/fdcdata_thru-2012_n=110977.dta,https://www.umassd.edu/media/umassdartmouth/political-science/facultydocs/fdcdata_thru-2012_n=110977.sav,,,,,year,,,,20190926,
U.S. House Primary Election Results (1956-2010),elections,https://doi.org/10.7910/DVN/26448,"primary elections, congressional elections, US House",US,0,0,0,0,1,1956,2010,online,no,,,,,,,,,,,,,10.7910/DVN/26448,20220610,
U.S. House Primary Election Results (2012-2018),elections,https://doi.org/10.7910/DVN/CXVMSY,"primary elections, congressional elections, US House",US,0,0,0,0,1,2012,2018,online,no,,,,,,,,,,,,,10.7910/DVN/CXVMSY,20220610,
U.S. Polling Places,elections,https://github.com/PublicI/us-polling-places,"elections, polling places, polling locations",US,0,0,0,0,1,2012,2018,online,no,,,,,,,,,,,,,,20201008,
UCDP Peacemakers at Risk,international relations,https://www.prio.org/JPR/Datasets/,"peacekeeping, violence, conflict, events",,1,0,0,0,0,1989,2009,online,no,,,,,,,,http://file.prio.no/Journals/JPR/2018/55/1/Sara%20Lindberg%20Bromley.zip,country,year,,10.1177/0022343317735882,,20220918,
UK Election Statistics,elections,https://researchbriefings.parliament.uk/ResearchBriefing/Summary/CBP-7529,"elections, turnout",GB,0,0,0,0,1,1918,2019,online,no,,http://researchbriefings.files.parliament.uk/documents/CBP-7529/CBP-7529.pdf,,,,http://researchbriefings.files.parliament.uk/documents/CBP-7529/CBP-7529.Download.xlsx,,,,,,,,20190819,
UK House of Commons Election Results at Constituency Level,elections,https://doi.org/10.7910/DVN/S83HOA,House of Commons,GB,0,0,0,0,1,1832,2019,online,no,,,,,,,,,,,,,10.7910/DVN/S83HOA,20221115,
UN Peace Mission Mandates,international relations,https://www.peacemissions.info/dataset,"peacekeeping operations, political missions",,1,1,1,1,1,1991,2020,online,no,,https://res.cloudinary.com/trandgthanh/image/upload/v1619957471/unpmm/UNPMM_V1.1_Codebook.pdf,,,,https://res.cloudinary.com/trandgthanh/raw/upload/v1618429775/unpmm/UNPMM_V1.1_Dataset.xlsx,,,mission_location,task_yearest,,,,20210505,
UN Targeted Sanctions,international relations,https://www.prio.org/JPR/Datasets/,"sanctions, sanctions effectiveness, targeted sanctions, United Nations",,1,1,1,1,1,1991,2013,online,no,,,,,,,,https://www.prio.org/utility/DownloadFile.ashx?id=25&type=replicationfile,,,,10.1177/0022343317752539,,20180504,
Understanding Society,citizens,https://www.understandingsociety.ac.uk/documentation/mainstage,"political attitudes, voting behavior, political participation, socio-demographic characteristics",GB,0,0,0,0,1,1991,2022,online,yes,,,,,,,,,,,,,10.5255/UKDA-SN-6614-16,20220907,
Unified Democracy Scores,democracy,http://www.unified-democracy-scores.org/uds.html,"polities, polyarchy, authoritarianism",,1,1,1,1,1,1946,2012,online,no,,,,,,,,http://www.unified-democracy-scores.org/files/20140312/z/uds_summary.csv.gz,country,year,cowcode,10.1093/pan/mpq020,,20191021,
Union Centralization among Advanced Industrial Societies,economics,https://doi.org/10.7910/DVN/07YQSZ,"employers, industrial nations, International Labor Organization, labor contracts, labor cost, labor markets, labor relations, labor unions, union membership, unionization",,0,1,0,0,1,1950,2005,online,no,,,,,,,,,country,year,,,10.7910/DVN/07YQSZ,20220823,
United Nations General Assembly Voting Data,international relations,https://doi.org/10.7910/DVN/LEJUQZ,"United Nations, roll-calls, international institutions, international cooperation",,1,1,1,1,1,1946,2021,online,no,,,,,,,,,,year,,10.1177/0022002715595700,10.7910/DVN/LEJUQZ,20220702,
United Nations General Debate Corpus,political speeches and debates,https://github.com/sjankin/UnitedNations,"United Nations, UN General Debate, political debates",,1,1,1,1,1,1946,2022,online,no,,,,,,,,,,,,,10.7910/DVN/0TJX8Y,20230525,
United Nations Security Council membership,international relations,http://www.uni-heidelberg.de/fakultaeten/wiso/awi/professuren/intwipol/datasets_en.html,"World Bank, UN Security Council, voting, aid",,1,1,1,1,1,1951,2020,online,no,,,,,,http://www.axel-dreher.de/UNSCdata.xls,,,aclpname,year,,10.1016/j.jdeveco.2008.02.003,,20220811,
United States of America Cabinet Appointments Dataset,cabinets and parliaments,https://github.com/taitcha/American_cabinet_appointments,"cabinets, departments, scandals, education, military",US,0,0,0,0,1,1789,2020,online,no,,,,,,,,,,,,,,20200905,
Uppsala Conflict Data Program,international relations,http://ucdp.uu.se/downloads/,"georeferenced events, armed conflict, nonstate, violence",,1,1,1,1,1,1946,2021,online,no,,,,,,,,,,year,,,,20220729,
Urban Social Disorder,protest,https://www.prio.org/data/32,"nonviolent events, violent events",,1,1,1,1,1,1960,2014,online,no,,,,,,,,,COUNTRY,YEAR,,10.1177/00223433221082991,,20230413,
US global military deployments,international relations,https://doi.org/10.1177%2F07388942211030885,"alliances, overseas deployments, troop deployments, US foreign policy",,1,1,1,1,1,1950,2020,online,no,,,,,,,,,countryname,year,ccode,10.1177%2F07388942211030885,,20210808,
US Presidential Elections,elections,https://github.com/zonination/election-history,presidential election,US,0,0,0,0,1,1789,2016,online,no,,,,,,,,,,,,,,20220729,
Varieties of Democracy,democracy,https://www.v-dem.net/en/data/,"democracy, institutions, rights, elections, parties",,1,1,1,1,1,1789,2019,online,online form,,,,,,,,,country_name,year,COWcode,,,20200320,
Varieties of Party Identity and Organization (V-Party),parties and politicians,https://www.v-dem.net/en/data/data/v-party-dataset/,"populism, political parties, expert survey, party positions, positional scales",,1,1,1,1,1,1970,2019,online,online form,,https://www.v-dem.net/media/filer_public/9b/66/9b66974e-781b-438e-a5a1-669762ee4b25/party_codebook.pdf,,,,,,,country_name,year,COWcode,,10.23696/vpartydsv1,20201121,
Veto Players Data,cabinets and parliaments,https://sites.lsa.umich.edu/tsebelis/data/veto-players-data/,"ideology, policy, veto, government",,0,1,0,0,1,1945,2000,online,no,,https://sites.lsa.umich.edu/tsebelis/wp-content/uploads/sites/246/2015/03/vp_instruction.pdf,,,,,,,COUNTRY,YEAR,,,,20220728,
Voter Turnout Database,elections,https://www.idea.int/data-tools/data/voter-turnout,"turnout, presidential, parliamentary, invalid votes",,1,1,1,1,1,1945,2022,online,no,,,,,,,,,Country,Year,,,,20220702,
Voteview: Congressional Roll-Call Votes Database,parties and politicians,https://voteview.com/data,"roll-call voting, member ideology",US,0,0,0,0,1,1721,2022,online,no,,,,,,,,,,,,,,20230301,
Warring-States Japan Battle Data,international relations,https://blogs.gwu.edu/nick_anderson/data/,battles,JP,0,1,0,0,0,1467,1600,online,no,,,,,,,,https://blogs.gwu.edu/nick_anderson/files/2022/12/WSJBData.zip,,year,,10.1080/03050629.2023.2149514,,20221215,
Water-Related Intrastate Conflict and Cooperation,international relations,http://hdl.handle.net/1902.1/20496,"water conflict, water cooperation",,1,1,0,0,0,1997,2009,online,no,,,,,,,,,,year,,,1902.1/20496,20180331,
Welsh Election Study,citizens,http://blogs.cardiff.ac.uk/electionsinwales/researchresources/,,GB,0,0,0,0,1,1979,2011,online,no,,http://blogs.cf.ac.uk/electionsinwales/wp-content/uploads/sites/100/2013/07/election-study-post-election-wave.pdf,,,https://drive.google.com/open?id=0B2MjpjDpYyyaX1NKR1Y2TWI4UVk&authuser=0,,,,,,,,,20181213,Link to SPSS data is the 2011 pre- and post-election panel data. Link to codebook is the 2011 post-election survey.
Wesleyan Media Project: Media Advertising,media,http://mediaproject.wesleyan.edu/dataaccess/,"political advertising, broadcast television",US,0,0,0,0,1,1996,2020,online,yes,,,,,,,,,,,,,,20220626,
WhoGov,cabinets and parliaments,https://www.nuffield.ox.ac.uk/our-research/research-centres/nuffield-politics-research-centre/whogov/,cabinet members,,1,1,1,1,1,1963,2019,online,no,,https://www.nuffield.ox.ac.uk/media/4117/whogov_codebook.pdf,,,,,,,country_name,year,,10.1017/S0003055420000490,,20200721,
Women in National Parliaments,parties and politicians,http://www.ipu.org/wmn-e/world-arc.htm,"gender, parliament, women",,1,1,1,1,1,1997,2019,online,no,,,,,,,,,,,,,,20220526,
Women’s Activities in Armed Rebellion,international relations,https://www.waarproject.com/,"rebellion, women, gender, civil war, political violence",,1,1,1,1,1,1946,2015,online,no,,https://www.waarproject.com/s/WAAR-Project-Dataset-v10-Codebook.pdf,https://www.waarproject.com/s/WAAR-Project-Dataset-v10.csv,,,https://www.waarproject.com/s/WAAR-Project-Dataset-v10.xlsx,,,country_primary,,,10.1177/00223433221128340,,20230218,
Women's Participation in NATO Forces and Operations,international relations,https://doi.org/10.7910/DVN/KFRNDP,"NATO, women participation, forces, operations",,0,0,1,0,1,2001,2011,online,no,,,,,,,,,NATO Country,year,,,10.7910/DVN/KFRNDP,20220626,
Women’s Rights Recommendations Digital Database,international relations,https://doi.org/10.1177%2F0022343319897954,"human rights, international law, women’s rights",,0,0,1,0,1,2007,2016,online,no,,,,,,,,,countryname,year,ccode,10.1177/0022343319897954,,20220316,
Working Time Regulation,policy,https://sites.google.com/view/magnusberglirasmussen/datasets,"working time, regulation",,1,1,1,1,1,1789,2017,online,no,,,,https://www.researchgate.net/profile/Magnus_Rasmussen2/publication/337198818_The_Hours_we_Work_Database_Working_Time_Regulation_1848-2014_-_203_countries/data/5dcaf31692851c818049e05e/public-stata.dta,,,,,country_name,year,COWcode,,,20210219,
World Database on Protected Areas,environment,https://www.protectedplanet.net/c/world-database-on-protected-areas,"biodiversity, protected areas",,1,1,1,1,1,1800,2019,online,no,,,,,,,,,,STATUS_YR,,,,20191130,
World Economic Outlook,economics,http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/download.aspx,"gdp, unemployment rate, government expenditure",,1,1,1,1,1,1980,2017,online,no,,,,,,http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/WEOApr2018all.xls,,,Country,,,,,20180418,
World Education Reform Database,policy,https://werd.stanford.edu/,"education, reform",,1,1,1,1,1,1560,2021,online,no,,,,,,,,,country_name,year,,,10.7910/DVN/C0TWXM,20231012,
World Income Inequality Database,economics,https://www.wider.unu.edu/database/world-income-inequality-database-wiid4,"income inequality, gini",,1,1,1,1,1,1867,2017,online,no,,https://www.wider.unu.edu/sites/default/files/WIID/PDF/WIID4%20User%20Guide.pdf,,,,https://www.wider.unu.edu/sites/default/files/WIID/WIID_19Dec2018.xlsx,,,country,year,,,,20190312,
World Migration Matrix,other,https://sites.google.com/brown.edu/louis-putterman/world-migration-matrix-1500-2000,"migration, history",,1,1,1,1,1,1500,2000,online,no,,,,,,,,,wbname,,,,,20220625,
World Press Freedom Index,media,https://rsf.org/en/index,"press freedom, journalism, media autonomy",,1,1,1,1,1,2002,2022,online,no,,,,,,,,,Country_EN,,,,,20220625,
World Values Survey,citizens,http://www.worldvaluessurvey.org/wvs.jsp,"political attitudes, political participation, socio-demographic characteristics",,1,1,1,1,1,1981,2022,online,"no, online form",,,,,,,,,B_COUNTRY,A_YEAR,,,,20220625,
World Wealth and Income Database,economics,http://wid.world/data/,inequality,,1,1,1,1,1,1800,2017,online,no,,,,,,,,,country,year,,,,20190218,
Worlds of Journalism,media,http://www.worldsofjournalism.org/data/data-and-key-tables-2012-2016/,"journalists in the newsroom, editorial autonomy, perceived influences, journalistic roles, ethical orientations, reporting practices, perceived change, institutional trust",,1,1,1,1,1,2012,2016,online,no,,,,,http://www.worldsofjournalism.org/fileadmin/Data_tables_documentation/SPSS_Data/WJS_2012-16_aggregated.sav,,,,COUNTRY,,,,,20180901,
Worldwide Bureaucracy Indicators,governance,https://datacatalog.worldbank.org/dataset/worldwide-bureaucracy-indicators,"economic growth, jobs, public sector management, employment",,1,1,1,1,1,2000,2018,online,no,,,,,,,,,Country Name,,,10.1111/puar.13355,,20210213,
Worldwide Governance Indicators,governance,https://data.worldbank.org/data-catalog/worldwide-governance-indicators,public sector management,,1,1,1,1,1,1996,2017,online,no,,,,,,,,,,,,,,20190307,
